room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
6,local_array_4ch,local_wpe_mwf,2,1.0,-0.239,-0.239,-0.35805,-0.35805,0.54266,0.54266,1.07146,1.07146,19.5058,19.5058,11.17295,11.17295,0.36845,0.36845,0.91112,0.91112,1.45644,1.45644,2.5279,2.5279,0.03983,0.03983,,,-3.91825,-3.91825,0.70924,0.70924,1.0568,1.0568
6,single,single_raw,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,0.0,0.0,0.0,0.0,0.0,0.0,0.77588,0.77588,0.0,0.0,1.41466,1.41466,0.0,0.0,1.02635,1.02635,-4.6241,-4.6241,0.65301,0.65301,1.0372,1.0372
6,single,single_wiener,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,2.64835,2.64835,1.2313,1.2313,-0.02601,-0.02601,0.74988,0.74988,-0.11521,-0.11521,1.29944,1.29944,0.00423,0.00423,1.02635,1.02635,-4.1786,-4.1786,0.62444,0.62444,1.03587,1.03587
8,distributed_singles,distributed_mvdr,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,16.5449,16.5449,-0.9095,-0.9095,0.11005,0.11005,0.86824,0.86824,1.39231,1.39231,2.68349,2.68349,0.00759,0.00759,0.4102,0.4102,-6.9369,-6.9369,0.63984,0.63984,1.05076,1.05076
8,distributed_singles,distributed_mwf,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,14.99115,14.99115,12.30785,12.30785,0.2017,0.2017,0.95988,0.95988,1.71411,1.71411,3.0053,3.0053,0.00752,0.00752,0.4102,0.4102,-0.19195,-0.19195,0.78384,0.78384,1.06186,1.06186
8,distributed_singles,distributed_weighted_ds,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,3.5018,3.5018,0.6447,0.6447,0.04851,0.04851,0.80669,0.80669,0.23552,0.23552,1.5267,1.5267,0.00398,0.00398,0.4102,0.4102,-4.9038,-4.9038,0.63112,0.63112,1.03529,1.03529
8,distributed_singles,distributed_wpd,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,2.4292,2.4292,-11.84525,-11.84525,-0.30988,-0.30988,0.44832,0.44832,-0.17252,-0.17252,1.11867,1.11867,0.02832,0.02832,0.4102,0.4102,-11.65125,-11.65125,0.54341,0.54341,1.02903,1.02903
8,distributed_singles,distributed_wpe_mvdr,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,14.95815,14.95815,-0.65955,-0.65955,0.0997,0.0997,0.85789,0.85789,1.0807,1.0807,2.37188,2.37188,0.15661,0.15661,0.4102,0.4102,-6.27565,-6.27565,0.64921,0.64921,1.05304,1.05304
8,distributed_singles,distributed_wpe_mwf,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,14.0535,14.0535,7.8851,7.8851,0.18815,0.18815,0.94633,0.94633,1.57007,1.57007,2.86125,2.86125,0.15684,0.15684,0.4102,0.4102,0.44895,0.44895,0.80322,0.80322,1.06969,1.06969
8,local_array_4ch,local_ds,2,1.0,-0.31925,-0.31925,-0.5924,-0.5924,0.5358,0.5358,1.07843,1.07843,1.1959,1.1959,0.90945,0.90945,0.08395,0.08395,0.61974,0.61974,0.0091,0.0091,1.08753,1.08753,0.00283,0.00283,,,-7.77,-7.77,0.57796,0.57796,1.02486,1.02486
8,local_array_4ch,local_mvdr,2,1.0,-0.31925,-0.31925,-0.5924,-0.5924,0.5358,0.5358,1.07843,1.07843,11.4456,11.4456,8.89515,8.89515,0.34884,0.34884,0.88464,0.88464,0.68958,0.68958,1.76802,1.76802,0.00475,0.00475,,,-6.19765,-6.19765,0.63779,0.63779,1.03798,1.03798
8,local_array_4ch,local_mwf,2,1.0,-0.31925,-0.31925,-0.5924,-0.5924,0.5358,0.5358,1.07843,1.07843,16.71095,16.71095,14.77205,14.77205,0.34939,0.34939,0.88518,0.88518,1.15518,1.15518,2.23361,2.23361,0.00422,0.00422,,,-5.43355,-5.43355,0.64033,0.64033,1.04686,1.04686
8,local_array_4ch,local_wpd,2,1.0,-0.31925,-0.31925,-0.5924,-0.5924,0.5358,0.5358,1.07843,1.07843,7.3205,7.3205,5.6121,5.6121,0.26595,0.26595,0.80175,0.80175,0.14084,0.14084,1.21927,1.21927,0.01615,0.01615,,,-5.6939,-5.6939,0.64645,0.64645,1.03371,1.03371
8,local_array_4ch,local_wpe_mvdr,2,1.0,-0.31925,-0.31925,-0.5924,-0.5924,0.5358,0.5358,1.07843,1.07843,10.88345,10.88345,7.5361,7.5361,0.29868,0.29868,0.83447,0.83447,0.48762,0.48762,1.56605,1.56605,0.039,0.039,,,-5.39555,-5.39555,0.65046,0.65046,1.04165,1.04165
8,local_array_4ch,local_wpe_mwf,2,1.0,-0.31925,-0.31925,-0.5924,-0.5924,0.5358,0.5358,1.07843,1.07843,15.04675,15.04675,10.80905,10.80905,0.29963,0.29963,0.83542,0.83542,0.90442,0.90442,1.98285,1.98285,0.03878,0.03878,,,-4.7542,-4.7542,0.64955,0.64955,1.052,1.052
8,single,single_raw,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,0.0,0.0,0.0,0.0,0.0,0.0,0.75819,0.75819,0.0,0.0,1.29119,1.29119,0.0,0.0,0.4102,0.4102,-1.24145,-1.24145,0.68918,0.68918,1.03557,1.03557
8,single,single_wiener,2,1.0,6.6997,6.6997,6.7068,6.7068,0.75819,0.75819,1.29119,1.29119,2.9371,2.9371,1.55575,1.55575,-0.01211,-0.01211,0.74608,0.74608,-0.13827,-0.13827,1.15291,1.15291,0.00381,0.00381,0.4102,0.4102,-0.49125,-0.49125,0.67113,0.67113,1.03205,1.03205
