room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
10,local_array_4ch,local_wpe_mvdr,10,1.0,-0.25791,-0.28575,-0.2115,-0.16155,0.56488,0.56439,1.0756,1.07659,11.34232,12.62215,6.34617,6.2642,0.27241,0.29546,0.83729,0.86713,0.51281,0.57073,1.58841,1.65658,0.03553,0.03533,,,-4.92653,-4.54955,0.68387,0.67068,1.04607,1.04665
10,local_array_4ch,local_wpe_mwf,10,1.0,-0.25791,-0.28575,-0.2115,-0.16155,0.56488,0.56439,1.0756,1.07659,15.36423,16.8232,9.21473,9.67255,0.27799,0.29883,0.84287,0.87434,0.90179,0.99801,1.97739,2.07655,0.03562,0.03529,,,-4.69965,-4.2766,0.69207,0.67751,1.05354,1.05083
10,single,single_raw,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,0.0,0.0,0.0,0.0,0.0,0.0,0.78667,0.7901,0.0,0.0,1.44267,1.2621,0.0,0.0,0.79912,0.77965,-7.53638,-7.2362,0.62192,0.61556,1.03958,1.03943
10,single,single_wiener,10,1.0,8.40667,7.79195,8.40678,7.854,0.78667,0.7901,1.44267,1.2621,2.69195,2.64585,1.30932,1.34215,-0.02064,-0.02192,0.76602,0.76886,-0.05044,-0.09787,1.39223,1.15917,0.00393,0.0039,0.79912,0.77965,-7.02219,-7.0324,0.59714,0.59715,1.03699,1.04007
12,distributed_singles,distributed_mvdr,10,0.8,11.48304,9.85795,11.48902,9.72305,0.81751,0.82161,1.85846,1.53638,7.08584,7.0721,-9.9851,-10.5258,-0.08272,-0.06363,0.73479,0.80856,0.03181,0.07544,1.89027,1.94784,0.00752,0.00752,0.86216,0.46495,-12.66056,-12.5651,0.58859,0.58591,1.0537,1.04289
12,distributed_singles,distributed_mwf,10,0.8,11.48304,9.85795,11.48902,9.72305,0.81751,0.82161,1.85846,1.53638,7.145,7.2943,5.09779,4.89265,0.09472,0.1072,0.91223,0.93009,0.63479,0.59569,2.49325,2.40565,0.00751,0.00753,0.86216,0.46495,-8.48704,-8.43435,0.63981,0.64606,1.05457,1.05578
12,distributed_singles,distributed_weighted_ds,10,0.8,11.48304,9.85795,11.48902,9.72305,0.81751,0.82161,1.85846,1.53638,0.38834,0.92505,-3.87953,-4.35915,-0.04699,-0.01532,0.77052,0.75606,-0.11445,-0.01836,1.74402,1.38674,0.00414,0.00403,0.86216,0.46495,-11.08187,-11.6673,0.60339,0.59775,1.0513,1.04049
12,distributed_singles,distributed_wpd,10,0.8,11.48304,9.85795,11.48902,9.72305,0.81751,0.82161,1.85846,1.53638,-2.29945,0.66595,-14.95332,-13.80045,-0.32969,-0.32049,0.48782,0.48988,-0.69014,-0.31094,1.16832,1.16301,0.0275,0.02748,0.86216,0.46495,-14.43536,-14.7789,0.52697,0.54107,1.03534,1.03335
12,distributed_singles,distributed_wpe_mvdr,10,0.8,11.48304,9.85795,11.48902,9.72305,0.81751,0.82161,1.85846,1.53638,6.45052,6.4236,-10.11532,-10.66325,-0.08538,-0.06651,0.73212,0.81055,-0.00164,0.04657,1.85682,1.91769,0.16016,0.1593,0.86216,0.46495,-12.19478,-12.1484,0.61453,0.60055,1.21085,1.0464
12,distributed_singles,distributed_wpe_mwf,10,0.8,11.48304,9.85795,11.48902,9.72305,0.81751,0.82161,1.85846,1.53638,6.75245,7.02305,1.18224,3.02695,0.08251,0.09478,0.90002,0.91836,0.51253,0.48184,2.37099,2.30744,0.16026,0.15941,0.86216,0.46495,-8.19497,-8.1168,0.65341,0.65694,1.05084,1.04515
